foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
RICE-CAMERON FAMILY FOUNDATION,DC,1560207,1,5,0,0,1000,2022,f,t,
THE PAULA AND WILLIAM J MARINO FAMILY,MI,1555440,1,2,0,0,250,2022,f,t,
THE DORIAN FUND,CA,1545073,1,1,0,0,5000,2019,f,t,
CALVARY FOUNDATION,PA,1526213,1,3,0,0,10000,2023,t,t,
Jake Fund,OR,1507567,1,5,0,0,150000,2023,f,t,
THE HARRY J LLOYD CHARITABLE TRUST,KS,1485548,1,5,0,0,110000,2022,t,t,
Banc of California Charitable Foundation,CA,1463612,1,3,0,0,10000,2023,t,t,
Fleshman-Pratt Foundation Inc,NC,1455959,1,4,0,0,5000,2023,f,t,
PHILIP I KENT FOUNDATION,NV,1448455,1,2,0,0,17500,2022,t,t,
THE VAIN AND HARRY FISH FOUNDATION INC,NJ,1425050,1,1,0,0,4000,2023,f,t,
REESE FAMILY CHARITABLE FOUNDATION,FL,1406064,1,1,0,0,500,2020,t,t,
BATT FAMILY FOUNDATION,IN,1361844,1,2,0,0,750,2022,f,t,
CLA FOUNDATION,MN,1351324,1,1,0,0,15000,2019,f,t,
ROBERT J & LORETTA W COONEY FAMILY FDTN,IL,1321742,1,1,0,0,5000,2020,f,t,
BOB A ROSS FOUNDATION INC,CA,1308245,1,5,0,0,5000,2022,f,t,
HOLLOWAY FAMILY FOUNDATION,FL,1224271,1,2,0,0,27500,2019,f,t,
JOSEPH & ARKADI GERNEY FOUNDATION,DC,1070902,1,1,0,0,1500,2024,f,t,
TOWER MENTAL HEALTH FOUNDATION,KS,1046262,1,1,0,0,1500,2020,f,t,
THE ZIENTS FAMILY FOUNDATION,DC,1025718,1,2,0,0,5000,2023,f,t,
EVERY NATION MISSION FOUNDATION,OK,1020166,1,2,0,0,4000,2023,f,t,
Flood Family Foundation II Inc,GA,973796,1,1,0,0,500,2019,f,t,
SIMONS FAMILY FOUNDATION,IL,957750,1,2,0,0,5500,2023,f,t,
TREVELYAN FAMILY FOUNDATION INC,MD,947239,1,1,0,0,1029,2023,f,t,
THE PLYMOUTH ROCK ASSURANCE FOUNDATION,MA,879960,1,1,0,0,969,2021,f,t,
RUCKER & MARGARET AGEE FUND UA,AL,863775,1,6,0,0,500,2023,t,t,
The Andover Companies Charitable Foundation,DE,792463,1,1,0,0,2000,2024,f,t,
LOCASTO FAMILY FOUNDATION,AZ,730555,1,2,0,0,250,2020,f,t,
First Eagle Investments Foundation,DE,687206,1,1,0,0,1500,2021,f,t,
TIM AND MAUREEN HUNTER CHARITABLE FOUNDATION,IL,669662,1,1,0,0,150,2020,f,t,
RITTER FAMILY FOUNDATION,CT,664077,1,7,0,0,50000,2024,f,t,
ELETREBY FOUNDATION,CA,622000,1,5,0,0,122000,2022,f,t,
THE EVO AND ORA DECONCINI AND,AZ,604898,1,2,0,0,675,2023,f,t,
THE LIPARI FAMILY FOUNDATION,NJ,595131,1,4,0,0,500,2023,f,t,
