ein,org_name,state,city,sector,website,employee_count,volunteer_count,total_revenue,total_expenses,contributions_grants,program_service_revenue,grant_dependency_pct,num_foundation_grants,num_unique_funders,total_foundation_grant_amount,icp_score,fundraising_likelihood_score,mission_statement,fiscal_year_end_month,program_revenue_pct,volunteer_to_employee_ratio
341875985,RICHLAND COUNTY CHILDRENS AUXILIARY,OH,MANSFIELD,P,N/A,2,750,592356.00,448351.00,542815.00,0.00,91.64,2,2,5200.00,8,8,TO SERVE NEEDY CHILDREN IN RICHLAND COUNTY.,12,0.0,375.00
352077713,SHELTERING WINGS CENTER FOR WOMEN INC,IN,DANVILLE,P,WWW.SHELTERINGWINGS.ORG,50,335,2896677.00,2798000.00,2902656.00,0.00,100.21,20,10,71621.00,8,8,"TO PROVIDE FOOD, SAFE SHELTER, AND COUNSELING TO MEN, WOMEN, AND THEIR DEPENDENT CHILDREN SUFFERING FROM PHYSICAL, MENTAL OR EMOTIONAL ABUSE.",12,0.0,6.70
020651198,ARIZONANS FOR CHILDREN INC,AZ,Tempe,P,www.arizonansforchildren.org,15,400,1065797.00,1164710.00,928247.00,129541.00,87.09,21,8,95443.00,8,8,"ARIZONANS FOR CHILDREN, INC. EXISTS TO FACILIATE OPPORTUNITIES AND PROVIDE EFFECTIVE SOLUTIONS TO IMPROVE AND STABILIZE THE FRAGILE LIVES OF FOSTER CHILDREN",12,12.2,26.67
751246028,CHRISTIAN WORKS FOR CHILDREN INC,TX,DALLAS,P,WWW.CHRISTIAN-WORKS.ORG,15,202,1764454.00,1718731.00,1514681.00,228910.00,85.84,15,8,331380.00,8,8,"ADOPTION, MATERNITY & PARENTING SERVICES, FAMILY & INDIVIDUAL COUNSELING, CHILDREN'S SUPPORT GROUPS",12,13.0,13.47
571068943,CALVARY HOME FOR CHILDREN,SC,ANDERSON,P,WWW.CALVARYHOME.ORG,19,180,1113417.00,994047.00,1069520.00,0.00,96.06,9,6,48732.00,8,8,"THE MISSION OF CALVARY HOME FOR CHILDREN IS TO PROVIDE HELP, HOPE, AND HOME TO ABUSED AND NEGLECTED CHILDREN IN UPSTATE SOUTH CAROLINA.",12,0.0,9.47
650125852,HOMELESS COALITION OF PALM BEACH,FL,DELRAY BEACH,P,HOMELESSCOALITIONPBC.ORG,6,548,2606391.00,1192149.00,2711248.00,0.00,104.02,14,9,317250.00,8,8,"TO PROVIDE LEADERSHIP IN ADDRESSING AND IMPROVING THE QUALITY OF LIFE OF THE HOMELESS IN PALM BEACH COUNTY, FLORIDA, THROUGH ADVOCACY, EDUCATION, COLLABORATION, PLANNING, AND MAXIMIZING RESOURCES.",9,0.0,91.33
237456842,REACH FOR YOUTH INC,IN,INDIANAPOLIS,P,WWW.REACHFORYOUTH.ORG,31,190,2671595.00,1389685.00,2513706.00,128075.00,94.09,18,11,1434113.00,8,8,"REACH FOR YOUTH PROVIDES LIFE-CHANGING OPPORTUNITIES THROUGH MENTAL HEALTH, RESTORATIVE JUSTICE, AND PREVENTION SERVICES. OUR VISION IS THAT EVERY YOUTH AND FAMILY HAS THE OPPORTUNITY TO THRIVE AND REACH THEIR FULL POTENTIAL.",12,4.8,6.13
593598933,FRIENDS OF FOSTER CHILDREN FOREVER INC,FL,NAPLES,P,HTTPS://FOSTERINGSUCCESS.NET/,9,135,1539058.00,1534112.00,1736801.00,0.00,112.85,14,9,198100.00,8,8,TO FOCUS ON THE CHILDREN WE SERVE WITH EDUCATIONAL AND ENRICHMENT OPPORTUNITIES THAT ALLOW EACH CHILD TO FULFILL HIS OR HER POTENTIAL.,6,0.0,15.00
237348227,WIND YOUTH SERVICES INC,CA,SACRAMENTO,P,WWW.WINDYOUTH.ORG,0,10,2964628.00,2766644.00,2948456.00,0.00,99.45,10,6,125100.00,8,8,"PROVIDE EMERGENCY HOUSING, SUPPORTIVE SERVICES AND OPPORTUNITIES TO YOUTH EXPERIENCING HOMELESSNESS.",12,0.0,
431597582,Youth Volunteer Corps,MO,Kansas City,P,yvc.org,29,7085,1679914.00,1256225.00,1566632.00,49396.00,93.26,21,13,266500.00,8,8,We engage youth in team-based service experiences that build life and work skills while inspiring a lifetime ethic of service.,3,2.9,244.31
412142032,MOSTLY MUTTS ANIMAL RESCUE AND,GA,KENNESAW,P,WWW.MOSTLYMUTTS.ORG,28,1045,2541700.00,1277743.00,1616962.00,165350.00,63.62,16,6,19891.00,8,8,"PROVIDE HOUSING, HEALTH CARE, TRAINING AND PHYSICAL AND EMOTIONAL CARE UNTIL ADOPTED BY LOVING, RESPONSIBLE HOMES. SPAY/NEUTER SERVICES ARE PROVIDED AS A MANDATORY PART OF EVERY ADOPTION PACKAGE.",12,6.5,37.32
814282343,CHILDREN IN CONFLICT INC,NY,NEW YORK,P,CHILDRENINCONFLICT.ORG,7,0,1786118.00,2260760.00,1786118.00,0.00,100.00,13,12,635430.00,8,8,"VISION: A WORLD WHERE NO CHILD'S LIFE IS TORN APART BY WAR.CHILDREN IN CONFLICT WORKS TIRELESSLY TO RESTORE HOPE, SAFETY AND CHILDHOODS TO CHILDREN WHOSE LIVES ARE AFFECTED BY WAR.",12,0.0,
200615767,HOMELESS NOT TOOTHLESS,CA,LOS ANGELES,P,WWW.HOMELESSNOTTOOTHLESS.ORG,0,,1539304.00,1283953.00,1539304.00,0.00,100.00,8,6,54387.00,8,8,PROVIDE FREE DENTAL CARE TO PEOPLE WHO ARE HOMELESS AND/OR DEMONSTRATE A SEVERE FINANCIAL NEED.,12,0.0,
810456048,NORTH VALLEY FOOD BANK,MT,WHITEFISH,P,WWW.NORTHVALLEYFOODBANK.ORG,15,319,2507339.00,2563536.00,2490154.00,2994.00,99.31,34,20,754907.00,8,8,NORTH VALLEY FOOD BANK BUILDS FOOD SECURITY AND STRENGTHENS COMMUNITIES THROUGH FOOD ASSISTANCE SERVICES AND CULINARY AND NUTRITION EDUCATION PROGRAMS.,6,0.1,21.27
432004770,PARTNERSHIPS FOR CHILDREN,TX,AUSTIN,P,WWW.PARTNERSHIPSFORCHILDREN.ORG,25,700,3139403.00,2743701.00,3087458.00,0.00,98.35,34,16,1532963.00,8,8,"TO MAKE TOMORROW BETTER THAN TODAY BY SUPPORTING AND EMPOWERING CHILDREN, YOUTH, AND FAMILIES INVOLVED WITH CHILD PROTECTIVE SERVICES.",7,0.0,28.00
262886846,WOUNDED VETERANS RELIEF FUND INC,FL,NORTH PALM BEACH,P,WWW.WVRF.ORG,9,28,2026689.00,2397886.00,2114028.00,0.00,104.31,58,31,948800.00,8,8,OUR MISSION IS TO EASE THE BURDEN OF FINANCIAL DISTRESS FOR ELIGIBLE FLORIDA DISABLED VETERANS AND THEIR FAMILIES BY PROVIDING THEM IMMEDIATE FINANCIAL ASSISTANCE. AN ELIGIBLE VETERAN IS DETERMINED TO BE AT LEAST 30% DISABLED AS DETERMINED BY THE VA.,12,0.0,3.11
