foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
MFA OIL FOUNDATION,MO,4985918,1,1,0,0,2000,2023,t,t,
Lee and Debbie Stuart Family Foundation,NE,4983534,1,1,0,0,5000,2022,t,t,
THE RICK AND TINA MALNATI,IL,4933495,1,1,0,0,500,2024,f,t,
OVERTON & KATHARINE DENNIS FD-CUST,FL,4857112,1,1,0,0,5000,2023,f,t,
ARZBAECHER FAMILY FOUNDATION,WI,4853850,1,2,0,0,750,2022,f,t,
THE RANDALL FAMILY FOUNDATION,CA,4804082,1,1,0,0,25000,2018,f,t,
THE GAP FOUNDATION,CA,4777763,4,8,0,0,250,2023,t,t,
I WALDBAUM FAMILY FOUNDATION,NY,4733809,1,4,0,0,7500,2023,t,t,
LOVSTED FAMILY CHARITABLE FOUNDATION,WA,4707921,1,1,0,0,2500,2022,t,t,
Merlo Family Foundation,DE,4660194,1,3,0,0,50000,2024,f,t,
COWAN SLAVIN FOUNDATION INC,NC,4626065,1,2,0,0,7500,2021,f,t,
TRUE HOMES FOUNDATION INC,NC,4599675,1,3,0,0,1000,2023,f,t,
GEORGE WELLS FOUNDATION UI,TX,4542386,1,1,0,0,18000,2024,t,t,
Schlinger Family Foundation,DE,4512996,1,3,0,0,10000,2023,f,t,
THE ALPAUGH FOUNDATION,OH,4376993,1,1,0,0,350,2021,t,t,
BNSF RAILWAY FOUNDATION,TX,4343485,1,2,0,0,100,2020,t,t,
GEORGE AND MARY JO BUDIG FAMILY,KY,4330184,2,12,0,0,550,2023,f,t,
HARRY & HILDA EISEN FAMILY FOUNDATION,CA,4280254,1,3,0,0,5000,2022,f,t,
HYDE CHARITABLE FOUNDATION,MA,4242177,1,5,0,0,30000,2024,t,t,
ANNUNZIATA SANGUINETTI FOUNDATION,MO,4239224,1,2,0,0,15000,2023,t,t,
PRATT MEMORIAL FUND,WI,4238842,1,1,0,0,3550,2020,f,t,
MARINO FAMILY CHARITABLE FOUNDATION INC,CA,4229369,1,5,0,0,10000,2023,f,t,
The Jerry Gart Family Foundation,CO,4188429,1,1,0,0,20000,2022,f,t,
JOHN AND INGRID HARBAUGH FAMILY,MD,4174007,1,1,0,0,2000,2020,f,t,
BROWN CHLS & HLN MEMORIAL F TA,OH,4125858,1,1,0,0,5000,2022,f,t,
Lincoln Financial Foundation Inc,PA,4076873,5,5,0,0,300,2023,t,t,
The Janus Henderson Foundation,CO,4063769,1,1,0,0,1125,2020,f,t,
KOHNEN FAMILY FOUNDATION,OH,3992819,1,1,0,0,10000,2020,f,t,
GOOD SHEPHERD FOUNDATION OF OHIO,NJ,3990461,1,3,0,0,30000,2023,f,t,
THE DREMAN FOUNDATION INC,FL,3924722,1,5,0,0,5000,2022,f,t,
JBS FOUNDATION,IL,3886894,1,1,0,0,500,2020,f,t,
GEORGE J & EFFIE L SEAY,TX,3862806,1,1,0,0,10000,2019,t,t,
JEROME S GLAZER FOUNDATION INC,OH,3854028,1,1,0,0,1000,2022,f,t,
THE BUNGIE FOUNDATION,WA,3809100,1,1,0,0,105421,2022,f,t,
RICHARD G JACOBUS FAMILY FOUNDATION,WI,3699295,1,1,0,0,500,2018,t,t,
Hoghton Family Charitable Trust,IL,3694674,1,2,0,0,375,2021,f,t,
