foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
THE GERALD J AND DOROTHY R FRIEDMAN,NY,41311161,0,25000,2019,f
GEORGE M EISENBERG FOUNDATION,IL,41271298,0,7000,2023,t
SIT INVESTMENT ASSOCIATES FOUNDATION,MN,41112394,0,20000,2023,f
THE COUNIHAN FAMILY FOUNDATION,PA,40966987,0,5000,2020,f
CADENCE BANK FOUNDATION,MS,40770001,0,24000,2022,t
HIRSCH FAMILY FOUNDATION,TX,40699050,0,87500,2023,f
CLERMONT FOUNDATION,MA,40011565,0,1000,2022,f
DOROTHY CATE AND THOMAS F FRIST,TN,38836735,0,2500,2023,f
J B FUQUA FOUNDATION INC,GA,38077054,0,25000,2023,f
KLA FOUNDATION,CA,37846768,0,5000,2022,f
Sherwood Trust,WA,37405088,0,150000,2022,t
THE BOEDECKER FOUNDATION,CO,37277479,0,26308,2023,f
Viragh Family Foundation,MD,37098943,0,75000,2019,f
THE RALPH LAUREN CORPORATE FOUNDATION,NY,36757169,0,10000,2019,f
