,,,,,,,,,,,,,
ein,business name,state,total assets,grantee count,cb grant count,intermediary grant count,paid officer count,phone,website,top officer name,top officer title,segment,segment priority
416017815,THE BUSH FOUNDATION,MN,"$1,399,508,111", 117 , 90 , 27 ,1,6512270891,WWW.BUSHFOUNDATION.ORG,JENNIFER REEDY,PRESIDENT,Intermediary Funders,1
300219424,FAUQUIER HEALTH FOUNDATION,VA,"$287,387,251", 116 , 43 , 36 ,7,5406804100,WWW.PATHFORYOU.ORG,CHRISTINE CONNOLLY,CEO/PRESIDENT,Intermediary Funders,1
591885997,KOCH FOUNDATION,FL,"$71,661,279", 111 , 1 , 61 ,0,3523737491,WWW.THEKOCHFOUNDATION.ORG,CAROLYN L BOMBERGER,ASST. TREASURER,Intermediary Funders,1
135626345,NEW YORK FOUNDATION,NY,"$54,520,936", 109 , 7 , 32 ,0,2125948009,WWW.NYF.ORG,FATIMA SHAMA,BOARD CHAIR THROUGH 6/2022,Intermediary Funders,1
330247161,THE CRAIL-JOHNSON FOUNDATION,CA,"$19,589,623", 105 , 164 , 13 ,0,3105199500,WWW.CRAIL-JOHNSON.ORG,ERIC C JOHNSON,VICE PRESIDENT & DIRECTOR,Intermediary Funders,1
136125699,VAN AMERINGEN FOUNDATION INC,NY,"$75,596,358", 102 , 23 , 18 ,0,2127586221,WWW.VANAMFOUND.ORG,KENNETH A KIND,PRESIDENT AND TREASURER,Intermediary Funders,1
436203035,OPPENSTEIN BROTHERS FOUNDATION,MO,"$34,946,125", 96 , 9 , 13 ,1,8162342704,https://asselgrantservices.com/oppenstein-brothers-foundation-grants-25000-to-ymca-of-greater-kansas-city,COMMERCE BANK NA INVMGMT,CORP. TRUSTEE,Intermediary Funders,1
870643877,Philanthropy International,CA,"$12,222,533", 91 , -   , 13 ,0,9096254511,www.picharity.org,Janis Bride,Treasurer,Intermediary Funders,1
061057387,CONNECTICUT HEALTH FOUNDATION INC,CT,"$122,596,033", 87 , 9 , 30 ,2,8607241580,WWW.CTHEALTH.ORG,TIFFANY DONELSON,PRESIDENT & CEO,Intermediary Funders,1
866052431,JOHN F LONG FOUNDATION INC,AZ,"$7,835,571", 87 , -   , 13 ,1,,www.jflongproperties.com foundation,Jacob F Long,President Treasurer,Intermediary Funders,1
