foundation_ein,foundation_name,foundation_state,recipient_ein,recipient_name,amount,purpose_text,tax_year
530237223,HATTIE M STRONG FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,5000,OST (SUMMER CAMP ACADEMIC/HOLISTIC ENRICHMENT),2021
522189081,NORA ROBERTS FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,5000,OPERATIONS,2021
541879808,THE EACHO FAMILY FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,3000,EDUCATIONAL,2021
522007895,KIMSEY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,2500,GENERAL OPERATING,2021
341595929,THE NORD FAMILY FOUNDATION,OH,271476998,HORIZONS GREATER WASHINGTON INC,1500,MATCHING - GENERAL OPERATING SUPPORT,2021
208046545,RICE-CAMERON FAMILY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,1000,CHARITABLE,2021
133949510,LAINOFF FAMILY FOUNDATION INC,NY,271476998,HORIZONS GREATER WASHINGTON INC,1000,GENERAL CHARITABLE & EDUCATIONAL PURPOSES,2021
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,140,OPERATIONAL SUPPORT,2021
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,70,OPERATIONAL SUPPORT,2021
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,70,OPERATIONAL SUPPORT,2021
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,70,OPERATIONAL SUPPORT,2021
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,35,OPERATIONAL SUPPORT,2021
276669056,HIMAN BROWN CHARITABLE TRUST,NY,271476998,HORIZONS GREATER WASHINGTON INC,100000,EDUCATIONAL,2020
812297831,THE SMART FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,65000,GENERAL SUPPORT,2020
272764310,ALISANN AND TERRY COLLINS FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,30000,GENERAL USE,2020
530237223,HATTIE M STRONG FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,20000,OST (SUMMER-CAMP) ACADEMIC/HOLISTIC ENRICHMENT,2020
316039441,NELSON TALBOTT FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,13150,GENERAL NEEDS OR PURPOSE,2020
276669056,HIMAN BROWN CHARITABLE TRUST,NY,271476998,HORIZONS GREATER WASHINGTON INC,10000,EDUCATIONAL,2020
366141697,LUTHER I REPLOGLE FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,6000,GENERAL OPERATING SUPPORT,2020
546520936,THE ZIENTS FAMILY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,5000,ANNUAL FUND,2020
812433446,SMART FAMILY FOUNDATION OF ILLINOIS,IL,271476998,HORIZONS GREATER WASHINGTON INC,5000,"CULTURAL, HISTORICAL & OTHER EDUCATIONAL",2020
742927126,The Webber Family Foundation,TX,271476998,HORIZONS GREATER WASHINGTON INC,2000,Support tuition-free academic programs for students in under-resourced communities,2020
476689769,DIAMOND MIND FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,2000,GENERAL OPERATING SUPPORT,2020
666012547,Henry L Kimelman Family Foundation,DE,271476998,HORIZONS GREATER WASHINGTON INC,2000,General & Unrestricted,2020
341595929,THE NORD FAMILY FOUNDATION,OH,271476998,HORIZONS GREATER WASHINGTON INC,500,GRANT FOR MATCH,2020
812297831,THE SMART FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,50000,GENERAL SUPPORT,2019
530237223,HATTIE M STRONG FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,15000,OST (SUMMER-CAMP) ACADEMIC/HOLISTIC ENRICHMENT,2019
316039441,NELSON TALBOTT FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,15000,GENERAL NEEDS OR PURPOSE,2019
530237223,HATTIE M STRONG FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,10000,OST (SUMMER CAMP) ACADEMIC/HOLISTIC ENRICHMENT,2019
396125966,FEITLER FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,10000,"CULTURAL, HISTORICAL AND OTHER EDUCATIONAL",2019
366141697,LUTHER I REPLOGLE FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,5000,GENERAL OPERATING SUPPORT,2019
208046545,RICE-CAMERON FAMILY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,2000,CHARITABLE,2019
476689769,DIAMOND MIND FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,1000,GENERAL OPERATING SUPPORT,2019
396125966,FEITLER FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,10000,"CULTURAL, HISTORICAL AND OTHER EDUCATIONAL",2018
366141697,LUTHER I REPLOGLE FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,5000,General Operating Support,2018
208046545,RICE-CAMERON FAMILY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,1500,CHARITABLE,2018
381359264,WK Kellogg Foundation,MI,271476998,HORIZONS GREATER WASHINGTON INC,5000,Matching Grant,2017
208046545,RICE-CAMERON FAMILY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,700,CHARITABLE,2017
133987111,IKDH FOUNDATION,MA,271476998,HORIZONS GREATER WASHINGTON INC,250,SUPPORT,2017
